< 10, 7319824.499999999 >
< 1121, 157905.30330062433 >
< 2232, 222136.01299283098 >
< 3343, 36717.86987735564 >
< 4454, 19668.03659631795 >
< 5565, 18522.804672057504 >
< 6676, 17763.428250449426 >
< 7787, 17684.83639399 >
< 8898, 17601.399190829397 >
< 10009, 17502.597562194103 >
< 11120, 17182.707913669128 >
< 12231, 17229.359087564397 >
< 13342, 17176.617298755828 >
< 14453, 17048.309416729993 >
< 15564, 17197.382292469767 >
< 16675, 17069.379250374746 >
< 17786, 17150.852693129327 >
< 18897, 16870.25078054714 >
< 20008, 17115.164284286282 >
< 21119, 16779.9359818175 >
< 22230, 16834.581601444283 >
< 23341, 16973.835268411392 >
< 24452, 17061.306886962248 >
< 25563, 16832.19121386392 >
< 26674, 16967.043225612873 >
< 27785, 17057.93672845012 >
< 28896, 17044.96345514947 >
< 30007, 16749.365747992102 >
< 31118, 16754.923420528343 >
< 32229, 16883.581774179253 >
< 33340, 16897.40626874626 >
< 34451, 16711.669443557195 >
< 35562, 16877.99420729998 >
< 36673, 16823.028386006034 >
< 37784, 16741.14400275251 >
< 38895, 16823.94240905015 >
< 40006, 16869.098185272167 >
< 41117, 16954.08855218019 >
< 42228, 16837.99841337499 >
< 43339, 16866.647638385908 >
< 44450, 16935.766996625327 >
< 45561, 17092.332960207066 >
< 46672, 16892.999978574004 >
< 47783, 16775.76225854368 >
< 48894, 16769.198061111783 >
< 50005, 17054.799660034078 >
< 51116, 16725.664664684282 >
< 52227, 16645.663756294452 >
< 53338, 16739.808185533682 >
< 54449, 17136.005711766866 >
< 55560, 17028.48275737943 >
< 56671, 16791.952727144413 >
< 57782, 16729.456976221074 >
< 58893, 16853.212622892424 >
< 60004, 16755.837944137245 >
< 61115, 16683.25288390685 >
< 62226, 16648.72982354652 >
< 63337, 16806.495334480653 >
< 64448, 16720.796704319822 >
< 65559, 16837.386140728002 >
< 66670, 16749.64022798844 >
< 67781, 17042.30514450977 >
< 68892, 17018.634355222548 >
< 70003, 16632.778909475433 >
< 71114, 16891.88764518919 >
< 72225, 16911.025115957014 >
< 73336, 16879.981523399223 >
< 74447, 16926.118231760902 >
< 75558, 17025.731557214312 >
< 76669, 16803.329389975257 >
< 77780, 16982.37580354838 >
< 78891, 16799.93076523302 >
< 80002, 16978.803142421326 >
< 81113, 16910.24351213722 >
< 82224, 16936.68753648586 >
< 83335, 16801.537889242103 >
< 84446, 16901.820488833353 >
< 85557, 16799.56755145684 >
< 86668, 16786.650747680917 >
< 87779, 16889.20478702209 >
< 88890, 16732.903217460036 >
< 90001, 16633.189986777918 >
< 91112, 16777.664434980965 >
< 92223, 16761.98834347196 >
< 93334, 16704.822690552115 >
< 94445, 16776.551569696752 >
< 95556, 16774.410555066966 >
< 96667, 16820.248585350095 >
< 97778, 16905.67308597088 >
< 98889, 16832.861278807406 >
< 100000, 16754.69837999924 >
